# _tick,_time,frames,mean_episode_return,total_loss,pg_loss,baseline_loss,entropy_loss
65,1602677906.292456,208000,0.0,-1.234399437904358,-1.224714994430542,0.016210895031690598,-0.025895364582538605
66,1602677909.0288312,211200,0.0,0.6444957852363586,0.6475182175636292,0.022891193628311157,-0.025913631543517113
67,1602677911.5675313,214400,0.0,-0.5386006236076355,-0.5572612881660461,0.04427473619580269,-0.025614071637392044
68,1602677914.3109329,217600,nan,-0.14815284311771393,-0.19124548137187958,0.06875421106815338,-0.025661570951342583
69,1602677916.1519208,220800,0.0,1.1722837686538696,1.1835252046585083,0.014735762029886246,-0.025977205485105515
70,1602677918.803916,224000,0.0,-0.6452054381370544,-0.627179741859436,0.007886482402682304,-0.02591215819120407
71,1602677921.4440014,227200,0.0,-0.10257209092378616,-0.08366446197032928,0.007106448989361525,-0.02601407654583454
72,1602677923.5813737,230400,0.0,-0.03563309833407402,-0.011712092906236649,0.0021295298356562853,-0.026050535961985588
73,1602677926.0051768,233600,0.0,-0.5018857717514038,-0.4850206673145294,0.009170359000563622,-0.026035461574792862
74,1602677928.896,236800,0.0,1.122878909111023,1.1348971128463745,0.013935951516032219,-0.02595413476228714
75,1602677930.654116,240000,0.0,-1.3394218683242798,-1.341289758682251,0.027602151036262512,-0.025734325870871544
76,1602677933.1026819,243200,nan,2.4825713634490967,2.49619197845459,0.012356521561741829,-0.025977177545428276
77,1602677935.7460208,246400,0.0,-4.420941352844238,-4.421541213989258,0.026335718110203743,-0.025735780596733093
78,1602677937.87204,249600,0.0,5.673770427703857,5.659580707550049,0.040179815143346786,-0.025990178808569908
79,1602677940.505567,252800,0.0,-5.6843976974487305,-5.69655179977417,0.0378233902156353,-0.025668984279036522
80,1602677942.4917827,256000,0.0,5.382490634918213,5.359338760375977,0.049133919179439545,-0.02598210610449314
81,1602677944.4762533,259200,nan,-2.292551040649414,-2.3035590648651123,0.036715053021907806,-0.025707002729177475
82,1602677946.7782092,262400,0.0,1.8681365251541138,1.8615208864212036,0.032473474740982056,-0.02585778385400772
83,1602677949.1954293,265600,0.0,-1.2864097356796265,-1.2825061082839966,0.022087711840867996,-0.02599133551120758
84,1602677951.7518275,268800,0.0,0.5584301948547363,0.5728127360343933,0.011626825667917728,-0.026009390130639076
85,1602677954.1716623,272000,0.0,0.7400486469268799,0.7098627090454102,0.056222982704639435,-0.026037031784653664
86,1602677956.0339193,275200,0.0,-1.1810548305511475,-1.1756073236465454,0.020604094490408897,-0.026051659137010574
87,1602677958.6439397,278400,0.0,0.8889617919921875,0.8948957920074463,0.02007109858095646,-0.026005059480667114
88,1602677961.3469474,281600,0.0,-0.8871341943740845,-0.8882835507392883,0.027283011004328728,-0.026133684441447258
89,1602677963.1551437,284800,0.0,0.0191313698887825,0.025281228125095367,0.01979382522404194,-0.025943681597709656
90,1602677965.7677834,288000,0.0,-0.37663203477859497,-0.37138450145721436,0.020799603313207626,-0.02604713663458824
91,1602677968.447307,291200,0.0,1.84890878200531,1.8509776592254639,0.02388567104935646,-0.025954602286219597
