# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1602600424.6012187,0,1726.2457275390625,3.0,0.4863719940185547,4.754711627960205,-0.10013695806264877,0.0234375,0.8559171557426453,0.8793546557426453,1.1126184463500977,0.7236868143081665,1707.608154296875,13.496553421020508
1,1602600426.5504792,1280,2172.291015625,0.0,8.040736198425293,1220.4842529296875,-0.059044692665338516,0.0,0.542998731136322,0.542998731136322,0.8468888401985168,0.5971090793609619,932.7899169921875,11.035215377807617
2,1602600428.560568,2560,1349.8614501953125,nan,-0.6372330188751221,597.4767456054688,-0.035730183124542236,0.0,0.3880712389945984,0.3880712389945984,0.848558783531189,0.42250341176986694,742.38427734375,10.673379898071289
3,1602600430.4872005,3840,761.9906616210938,nan,3.068647861480713,106.0429458618164,-0.09250368922948837,0.0,0.277384877204895,0.277384877204895,0.7035495042800903,0.3381136953830719,642.5166015625,10.45494270324707
4,1602600432.4358106,5120,1075.7996826171875,nan,0.0008898625965230167,512.3676147460938,-6.55945623293519e-05,0.0,0.21581169962882996,0.21581169962882996,0.7239606380462646,0.2742958962917328,553.1531982421875,10.278003692626953
5,1602600434.372298,6400,692.0403442382812,nan,0.006750189699232578,154.82958984375,-0.0004168433661106974,0.0,0.1879502534866333,0.1879502534866333,0.6275930404663086,0.2521781325340271,526.9566650390625,10.247734069824219
6,1602600436.3238618,7680,808.7401123046875,nan,0.001865858561359346,317.728271484375,-4.1309242078568786e-05,0.0,0.2555285096168518,0.2555285096168518,0.704735279083252,0.3237210214138031,480.9577941894531,10.052229881286621
7,1602600438.3185894,8960,485.22003173828125,nan,0.01430198922753334,57.519805908203125,-0.0006136609590612352,0.0,0.16700442135334015,0.16700442135334015,0.5747970938682556,0.2590829133987427,417.5239562988281,10.162595748901367
8,1602600440.3648806,10240,604.9684448242188,nan,0.005030588712543249,202.34716796875,-0.0001537445350550115,0.0,0.20659200847148895,0.20659200847148895,0.6136363744735718,0.2997589111328125,392.6002502441406,10.016166687011719
9,1602600442.2077172,11520,446.6531066894531,nan,0.011708246544003487,65.52525329589844,-0.0005374589236453176,0.0,0.1749032735824585,0.1749032735824585,0.5750373005867004,0.2573941648006439,371.0601501464844,10.05652904510498
10,1602600444.033643,12800,531.7015380859375,nan,-0.0003031395317520946,175.05230712890625,-0.0002178158756578341,0.0,0.13181951642036438,0.13181951642036438,0.4631494879722595,0.25969892740249634,346.42822265625,10.22156810760498
11,1602600445.8792982,14080,445.31768798828125,nan,0.01686182990670204,94.08504486083984,-0.0008256394066847861,0.0,0.19227881729602814,0.19227881729602814,0.5968549251556396,0.29581695795059204,341.11187744140625,10.104751586914062
12,1602600447.7925074,15360,421.70849609375,nan,0.0027030662167817354,99.10071563720703,-0.00015920061559882015,0.0,0.21002355217933655,0.21002355217933655,0.5484286546707153,0.34873467683792114,312.56292724609375,10.042289733886719
13,1602600449.7098122,16640,464.44061279296875,nan,0.0037275238428264856,173.79042053222656,-0.0001186557492474094,0.0,0.13093045353889465,0.13093045353889465,0.5088449716567993,0.2446792870759964,280.569580078125,10.077012062072754
14,1602600451.636963,17920,360.7478942871094,nan,0.002547607757151127,85.85767364501953,-0.0008812254527583718,0.0,0.12697556614875793,0.12697556614875793,0.5241715312004089,0.22140899300575256,265.0462951660156,9.84225082397461
15,1602600453.5356112,19200,317.7343444824219,nan,0.031490471214056015,55.913753509521484,-0.0021893875673413277,0.0,0.10871025174856186,0.10871025174856186,0.5071408748626709,0.19701342284679413,251.9095458984375,9.88174057006836
16,1602600455.5497699,20480,321.897216796875,nan,-0.23269768059253693,72.89580535888672,-0.001999035943299532,0.0,0.08699498325586319,0.08699498325586319,0.45395517349243164,0.1729460507631302,239.37110900878906,9.864977836608887
17,1602600457.4706862,21760,262.04791259765625,nan,0.025460628792643547,19.37386131286621,-0.005033345893025398,0.0,0.09046222269535065,0.09046222269535065,0.478861004114151,0.17571134865283966,232.82977294921875,9.823858261108398
18,1602600459.5988886,23040,299.319091796875,nan,-0.34042540192604065,56.13327407836914,-0.0010566188720986247,0.0,0.0886513814330101,0.0886513814330101,0.4824078679084778,0.16947372257709503,233.71905517578125,9.808231353759766
19,1602600461.5337496,24320,247.31304931640625,nan,0.0471111424267292,20.304182052612305,-0.004326649941504002,0.0,0.08109411597251892,0.08109411597251892,0.45344457030296326,0.16600669920444489,217.17959594726562,9.78648853302002
20,1602600463.4194427,25600,264.95135498046875,0.0,-0.7284234166145325,60.64053726196289,-0.0017648313660174608,0.0,0.06151694059371948,0.06151694059371948,0.39946839213371277,0.1415683478116989,195.14883422851562,9.892191886901855
21,1602600465.2060425,26880,231.6132049560547,0.0,0.00566844129934907,21.723785400390625,-0.002861657179892063,0.0,0.06786245852708817,0.06786245852708817,0.4128900468349457,0.1497267186641693,200.08775329589844,9.798860549926758
22,1602600467.047301,28160,229.8885040283203,0.0,-0.02369150146842003,35.84606170654297,-0.0024320771917700768,0.0,0.07169045507907867,0.07169045507907867,0.38943973183631897,0.17036938667297363,184.21417236328125,9.854397773742676
23,1602600469.0588539,29440,237.16226196289062,0.0,0.03377138078212738,46.4051513671875,-0.007325421553105116,0.0,0.08165450394153595,0.08165450394153595,0.37934061884880066,0.19431188702583313,180.90994262695312,9.820723533630371
