# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss
0,1602610474.1541836,0,1536.9713134765625,0.0,-0.059161972254514694,0.00760007044300437,-0.1314762532711029,0.0,0.007576103322207928,0.007576103322207928,0.007641793228685856,0.2883071303367615,1525.97900390625,11.17528247833252
1,1602610475.839749,1280,890.432373046875,nan,2.0309203537655085e-12,0.0,-0.02238726243376732,0.0,0.0007046224782243371,0.0007046224782243371,0.0007046224782243371,0.16783516108989716,880.0147705078125,10.440014839172363
2,1602610477.620952,2560,659.2501220703125,nan,3.354981440231719e-12,0.0,-0.053495731204748154,0.0,0.0,0.0,0.0,0.11448733508586884,649.0006103515625,10.302967071533203
3,1602610479.5250661,3840,563.3845825195312,nan,3.275102758437676e-11,0.0,-0.026276180520653725,0.0,0.0,0.0,0.0,0.09548179805278778,553.3588256835938,10.052082061767578
4,1602610481.4648569,5120,487.5164489746094,nan,2.3224019228036555e-15,0.0,-0.0029684756882488728,0.0,0.0,0.0,0.0,0.08158709108829498,477.3709411621094,10.148476600646973
5,1602610482.9389496,6400,450.630615234375,nan,1.0457004186170682e-11,0.0,-0.02027830109000206,0.0,0.0,0.0,0.0,0.074413001537323,440.8802490234375,9.77062702178955
6,1602610484.8437,7680,402.7724609375,nan,5.930741466507461e-13,0.0,-0.011146146804094315,0.0,0.0,0.0,0.0,0.06935041397809982,392.8471374511719,9.936455726623535
7,1602610486.6967516,8960,374.6351623535156,nan,4.5397737760861923e-13,0.0,-0.019535358995199203,0.0,0.0,0.0,0.0,0.06382105499505997,364.9993896484375,9.655315399169922
8,1602610488.621151,10240,340.3216552734375,nan,3.4825948548589114e-12,0.0,-0.008132078684866428,0.0,0.0,0.0,0.0,0.060071300715208054,330.4730224609375,9.856745719909668
9,1602610490.1558042,11520,326.4880676269531,nan,1.4218421579004215e-11,0.0,-0.0009104973869398236,0.0,0.0,0.0,0.0,0.05683768913149834,316.8294982910156,9.659485816955566
10,1602610491.8223538,12800,406.3924865722656,nan,0.16511209309101105,58.489158630371094,-0.005590599495917559,0.0,0.0,0.0,0.0,0.05381806939840317,337.34954833984375,10.394268035888672
11,1602610493.6151822,14080,383.10888671875,nan,-0.1794567108154297,20.795286178588867,-0.02217804454267025,0.0,0.0,0.0,0.0,0.05146448686718941,351.5702819824219,10.94494915008545
12,1602610495.5829656,15360,439.1228942871094,nan,0.9185947775840759,108.25155639648438,-0.024117784574627876,0.0,0.0,0.0,0.0,0.04952136054635048,319.12548828125,10.851371765136719
13,1602610497.444804,16640,320.5570983886719,nan,0.03744975104928017,4.400511741638184,-0.028835518285632133,0.0,0.0,0.0,0.0,0.04782046750187874,305.3740234375,10.773965835571289
14,1602610499.1362288,17920,300.8223571777344,nan,0.07177330553531647,2.7597110271453857,-0.037322238087654114,0.0,0.0,0.0,0.0,0.045932408422231674,287.396728515625,10.631468772888184
15,1602610501.0091367,19200,291.41241455078125,nan,-0.773313581943512,14.868955612182617,-0.057104069739580154,0.0,0.0,0.0,0.0,0.04448613151907921,266.8428955078125,10.530962944030762
16,1602610502.7520206,20480,281.6466979980469,nan,1.3988572359085083,18.81912612915039,-0.1519993543624878,0.0,0.0,0.0,0.0,0.042912665754556656,251.0687255859375,10.51198673248291
17,1602610504.4404907,21760,242.9351043701172,nan,-0.16301575303077698,1.5386039018630981,-0.10269206762313843,0.0,0.0,0.0,0.0,0.04151781275868416,231.26707458496094,10.395129203796387
18,1602610506.3287134,23040,256.7786865234375,nan,1.251968502998352,13.062947273254395,-0.10664934664964676,0.0,0.0,0.0,0.0,0.04065416008234024,232.109375,10.461037635803223
19,1602610508.2095435,24320,228.80072021484375,nan,-0.06362643837928772,0.8857378363609314,-0.11195479333400726,0.0,0.0,0.0,0.0,0.039655495434999466,217.7369384765625,10.353619575500488
20,1602610510.1154757,25600,218.8853302001953,nan,0.5316162109375,4.9129319190979,-0.0826781839132309,0.0,0.0,0.0,0.0,0.03873215988278389,203.15353393554688,10.36992073059082
21,1602610511.9617524,26880,205.62501525878906,nan,-0.6732218265533447,7.724000930786133,-0.12266005575656891,0.0,0.0,0.0,0.0,0.03748735412955284,188.41943359375,10.277471542358398
22,1602610513.7121155,28160,198.62582397460938,nan,0.25064200162887573,0.7809568047523499,-0.17122194170951843,0.0,0.0,0.0,0.0,0.03680814802646637,187.40359497070312,10.36185073852539
23,1602610515.3800933,29440,197.92333984375,nan,0.4175058901309967,3.6817033290863037,-0.14717702567577362,0.0,0.01636773720383644,0.01636773720383644,0.017282579094171524,0.07818697392940521,183.7156982421875,10.255613327026367
24,1602610516.7826064,30720,195.05712890625,nan,1.537946343421936,1.8144673109054565,-0.225997194647789,0.0,0.015097683295607567,0.015097683295607567,0.018807029351592064,0.06857751309871674,181.65650939941406,10.274203300476074
25,1602610518.2970421,32000,194.79922485351562,nan,1.221034288406372,3.695801258087158,-0.2226104438304901,0.0,0.01429373025894165,0.01429373025894165,0.01908467337489128,0.08223327994346619,179.7895965576172,10.315394401550293
26,1602610520.0623703,33280,183.2784881591797,nan,0.1288171261548996,0.1478632688522339,-0.30716684460639954,0.0,0.002370870904996991,0.002370870904996991,0.002370870904996991,0.05746834725141525,173.05006408691406,10.258916854858398
27,1602610522.0054302,34560,178.72366333007812,0.0,2.1183199882507324,1.8367855548858643,-0.4585014581680298,0.0,0.01682996191084385,0.01682996191084385,0.023469995707273483,0.09731854498386383,164.96884155273438,10.258219718933105
28,1602610523.8936565,35840,200.5936737060547,0.0,3.760305166244507,3.298069715499878,-0.31335359811782837,0.0,0.03589058667421341,0.03589058667421341,0.04257068783044815,0.1626642942428589,183.67491149902344,10.173737525939941
29,1602610525.5928898,37120,190.0036163330078,0.0,-1.0393656492233276,2.9930260181427,-0.19857768714427948,0.0,0.013757040724158287,0.013757040724158287,0.015563112683594227,0.11934586614370346,178.1630096435547,10.085519790649414
30,1602610527.2306924,38400,200.10003662109375,0.0,0.9237087965011597,0.6284752488136292,-0.3367019593715668,0.0,0.01699230819940567,0.01699230819940567,0.01699230819940567,0.14069607853889465,188.86618041992188,10.018369674682617
31,1602610529.1182873,39680,216.1723175048828,0.0,4.836233615875244,8.268631935119629,-0.22640256583690643,0.0,0.042662329971790314,0.042662329971790314,0.04472174495458603,0.24657957255840302,193.34567260742188,9.948184967041016
32,1602610530.934138,40960,204.88211059570312,0.0,1.2157162427902222,3.9247958660125732,-0.13529497385025024,0.0,0.016382474452257156,0.016382474452257156,0.016382474452257156,0.19089564681053162,190.0098419189453,9.867046356201172
33,1602610532.7405105,42240,246.8135986328125,3.3333332538604736,11.74081039428711,13.60439395904541,-0.295158714056015,0.0078125,0.08207905292510986,0.08989155292510986,0.08772716671228409,0.3362587094306946,211.82864379882812,9.934900283813477
34,1602610534.648643,43520,232.47608947753906,nan,6.863365173339844,7.981837272644043,-0.15949761867523193,0.0,0.061897892504930496,0.061897892504930496,0.07009042799472809,0.2931559979915619,207.92193603515625,9.868449211120605
35,1602610536.5505538,44800,238.72215270996094,0.0,11.86227798461914,9.056198120117188,-0.3374267518520355,0.0,0.11381103843450546,0.11381103843450546,0.12238025665283203,0.4119454026222229,208.0842742919922,10.056829452514648
36,1602610538.3391504,46080,294.70526123046875,0.0,26.740089416503906,30.209606170654297,-0.3285675048828125,0.0,0.2505415081977844,0.2505415081977844,0.25529009103775024,0.6991289258003235,227.7638397216797,10.320294380187988
37,1602610540.2506156,47360,250.14476013183594,2.5,12.096357345581055,14.157395362854004,-0.25782305002212524,0.0078125,0.22532784938812256,0.23314034938812256,0.2372760772705078,0.6885210275650024,213.97659301757812,10.172237396240234
38,1602610542.0424166,48640,216.25765991210938,10.0,3.7767698764801025,18.26898193359375,-0.3104090094566345,0.0078125,0.1180986762046814,0.1259111762046814,0.12430030107498169,0.5037287473678589,184.53121948242188,9.991106033325195
39,1602610543.842411,49920,228.86224365234375,0.0,5.08849573135376,11.403685569763184,-0.2649025022983551,0.0,0.1846390664577484,0.1846390664577484,0.20819273591041565,0.6209157705307007,202.5019073486328,10.133049011230469
40,1602610545.6084752,51200,214.55267333984375,0.0,5.373521327972412,6.325196743011475,-0.11606241762638092,0.0,0.17740997672080994,0.17740997672080994,0.20088176429271698,0.557486891746521,192.83987426757812,10.130135536193848
41,1602610547.455706,52480,215.91781616210938,0.0,5.206469535827637,34.98258972167969,-0.3070366084575653,0.0,0.1283954381942749,0.1283954381942749,0.14120566844940186,0.5475857853889465,166.057861328125,9.977934837341309
42,1602610549.0511308,53760,172.3097381591797,nan,1.1763278245925903,5.784811973571777,-0.34904372692108154,0.0,0.07181752473115921,0.07181752473115921,0.0775943249464035,0.3221619725227356,155.8194122314453,9.878235816955566
43,1602610550.8378181,55040,184.83221435546875,nan,5.800045967102051,9.220809936523438,-0.32642629742622375,0.0,0.11591558158397675,0.11591558158397675,0.12135288864374161,0.48730191588401794,160.17413330078125,9.963658332824707
