# _tick,_time,frames,mean_episode_return,total_loss,pg_loss,baseline_loss,entropy_loss
0,1602483742.6167314,0,nan,-1.4852937459945679,-2.0793066024780273,0.656164288520813,-0.062151480466127396
1,1602483744.2423823,1920,0.0,2.9729401376243914e-06,3.1153031159192324e-06,1.1368683772161603e-13,-1.4236300671655044e-07
2,1602483747.3271441,3840,0.0,234.6670379638672,-0.000302619650028646,234.66734313964844,-2.434387624816736e-06
3,1602483751.1052375,5760,0.0,4553.19140625,-0.25115153193473816,4553.4423828125,-7.2345974331256e-05
4,1602483752.3607593,7680,nan,263.96209716796875,-0.8202680349349976,264.7874755859375,-0.005110601894557476
5,1602483753.2331462,9600,nan,0.2553739547729492,-0.15771305561065674,0.45152226090431213,-0.03843524679541588
6,1602483754.7569468,11520,0.0,-5.373780368245207e-06,1.1376567954357597e-06,0.0,-6.511437277367804e-06
7,1602483756.1218529,13440,nan,-5.7366833061678335e-06,1.1409402986828354e-06,0.0,-6.877623491163831e-06
8,1602483757.5241687,15360,nan,-3.449847326919553e-06,8.701891118789717e-08,0.0,-3.5368661883694585e-06
9,1602483758.9701517,17280,nan,-6.506046702270396e-06,1.1534539225976914e-06,0.0,-7.659500624868087e-06
10,1602483760.397423,19200,nan,-3.5997509257867932e-06,1.1014682286258903e-06,0.0,-4.701219040725846e-06
11,1602483761.735666,21120,nan,-6.463107183662942e-06,1.1309997489661328e-06,0.0,-7.594107046315912e-06
12,1602483763.169556,23040,nan,-5.883734047529288e-06,6.862338608470964e-08,0.0,-5.952357241767459e-06
13,1602483764.2920175,24960,0.0,0.3396393060684204,-7.627940794918686e-05,0.3397570848464966,-4.1485935071250424e-05
14,1602483765.6364877,26880,0.0,49.29225540161133,0.00776490056887269,49.28451919555664,-2.9539389288402162e-05
15,1602483767.090773,28800,1.4285714626312256,340.8221740722656,0.27321454882621765,340.55316162109375,-0.004210622049868107
16,1602483768.5177135,30720,7.5,107.2636947631836,-0.4924880266189575,107.76612091064453,-0.009937919676303864
17,1602483769.810929,32640,10.0,10.926451683044434,1.5767220258712769,9.424654006958008,-0.07492420822381973
18,1602483770.6267805,34560,0.0,20.592479705810547,-0.24635115265846252,20.863548278808594,-0.02471737563610077
19,1602483772.0374799,36480,0.0,4.781267166137695,0.35656118392944336,4.454300880432129,-0.029595058411359787
20,1602483773.4274402,38400,0.0,14.945122718811035,-0.6808581352233887,15.669784545898438,-0.04380334913730621
21,1602483774.6494436,40320,0.0,0.806913435459137,-0.08484876155853271,0.9916722774505615,-0.09991009533405304
22,1602483775.5853932,42240,0.0,1.459627389907837,0.7549146413803101,0.7906851172447205,-0.08597235381603241
23,1602483776.9117606,44160,3.3333332538604736,21.976470947265625,0.06053752079606056,21.922592163085938,-0.006658206228166819
24,1602483778.298105,46080,0.0,0.23589716851711273,-0.024457009509205818,0.31105342507362366,-0.050699252635240555
25,1602483779.7590742,48000,4.0,1.2520447969436646,0.6010236740112305,0.698029100894928,-0.0470079630613327
26,1602483780.974308,49920,12.5,1.523962140083313,0.26887163519859314,1.3048173189163208,-0.049726810306310654
27,1602483782.4055963,51840,1.6666666269302368,0.32326215505599976,0.2974231243133545,0.0924077257514,-0.06656870990991592
28,1602483783.624019,53760,3.3333332538604736,0.43111371994018555,0.39386841654777527,0.10483624786138535,-0.06759094446897507
29,1602483784.786068,55680,10.0,0.463276207447052,0.44173213839530945,0.09058207273483276,-0.06903796643018723
30,1602483786.1747801,57600,0.0,0.4911925196647644,0.4618638753890991,0.11524917930364609,-0.08592052012681961
31,1602483787.2710292,59520,0.0,-0.534144937992096,-0.46462565660476685,0.02490205131471157,-0.09442134201526642
32,1602483788.1342533,61440,2.857142925262451,0.13724467158317566,0.20660100877285004,0.030819378793239594,-0.10017570108175278
33,1602483789.3789718,63360,6.666666507720947,-0.04191859811544418,0.05086340382695198,0.01739298738539219,-0.1101749911904335
34,1602483790.6986394,65280,5.0,0.035534873604774475,0.12899433076381683,0.026027953252196312,-0.11948740482330322
35,1602483792.1810226,67200,0.0,-0.09330729395151138,0.0025166524574160576,0.020034415647387505,-0.11585836112499237
36,1602483793.2752845,69120,4.0,-0.07618628442287445,0.01946328952908516,0.02398175373673439,-0.119631327688694
37,1602483794.7084224,71040,nan,-0.00814569741487503,0.10733098536729813,0.009842364117503166,-0.12531904876232147
38,1602483795.914485,72960,2.5,-0.013029910624027252,0.0823553130030632,0.03314298391342163,-0.12852820754051208
39,1602483797.1524796,74880,20.0,0.10381431877613068,0.21751362085342407,0.015330118127167225,-0.12902942299842834
40,1602483798.6121697,76800,5.0,-0.35553473234176636,-0.23831845819950104,0.012600203044712543,-0.12981648743152618
41,1602483800.0686126,78720,8.0,0.3301507830619812,0.4307369887828827,0.03253549337387085,-0.13312168419361115
42,1602483801.4904509,80640,0.0,0.4337186813354492,0.4913778305053711,0.07601412385702133,-0.13367325067520142
43,1602483802.8754048,82560,8.0,-0.5541245341300964,-0.4751499593257904,0.061287909746170044,-0.14026248455047607
44,1602483804.2983048,84480,5.0,-0.021368637681007385,0.08156199753284454,0.031699348241090775,-0.1346299797296524
45,1602483805.716986,86400,8.571428298950195,-0.12297725677490234,-0.028139490634202957,0.045529805123806,-0.1403675675392151
46,1602483806.5286124,88320,0.0,1.129300832748413,1.1460576057434082,0.11317994445562363,-0.12993665039539337
47,1602483808.0923448,90240,1.6666666269302368,-1.2606855630874634,-1.187920093536377,0.045992400497198105,-0.11875787377357483
48,1602483809.4834907,92160,4.285714149475098,0.2254415601491928,0.28167060017585754,0.0604204423725605,-0.11664949357509613
49,1602483810.9151223,94080,0.0,0.19234496355056763,0.2694513201713562,0.04831406846642494,-0.12542042136192322
50,1602483812.1860003,96000,4.285714149475098,0.9165526628494263,0.9196178913116455,0.12806980311870575,-0.1311350017786026
51,1602483813.2882328,97920,2.5,-0.001640021800994873,0.010436572134494781,0.11520966142416,-0.12728625535964966
52,1602483814.6623628,99840,10.0,-0.7569273710250854,-0.6507118940353394,0.018962334841489792,-0.12517781555652618
53,1602483815.7226353,101760,0.0,-0.1607327163219452,-0.07778036594390869,0.042709264904260635,-0.12566161155700684
54,1602483817.0533202,103680,0.0,1.2426857948303223,1.2709646224975586,0.0972961038351059,-0.12557494640350342
55,1602483818.459944,105600,3.3333332538604736,-0.7454349994659424,-0.66966712474823,0.05514487251639366,-0.13091273605823517
56,1602483819.8623474,107520,0.0,-0.6531620025634766,-0.5632334351539612,0.03775317221879959,-0.12768171727657318
57,1602483821.2226236,109440,0.0,1.1539568901062012,1.1787430047988892,0.09896691888570786,-0.12375307828187943
58,1602483822.5607336,111360,6.666666507720947,-0.8120260834693909,-0.7403262257575989,0.06769660115242004,-0.13939648866653442
59,1602483823.8389645,113280,15.0,0.26709771156311035,0.34154626727104187,0.06807742267847061,-0.14252595603466034
60,1602483825.152328,115200,0.0,1.1637248992919922,1.1904345750808716,0.11204779893159866,-0.13875752687454224
61,1602483826.5771499,117120,12.5,-0.7118306159973145,-0.6211991906166077,0.054943688213825226,-0.14557509124279022
62,1602483827.5966282,119040,6.666666507720947,-0.047902077436447144,0.05167601630091667,0.046660784631967545,-0.14623887836933136
63,1602483828.8243625,120960,20.0,0.06089179217815399,0.149571031332016,0.05552231892943382,-0.14420156180858612
64,1602483830.261742,122880,3.3333332538604736,0.05397929251194,0.1477697193622589,0.05134618282318115,-0.14513660967350006
65,1602483831.3557208,124800,2.5,-0.9476698637008667,-0.8096928596496582,0.010447228327393532,-0.14842423796653748
66,1602483832.743535,126720,4.285714149475098,0.7837391495704651,0.8533828854560852,0.08052708208560944,-0.15017081797122955
67,1602483833.7356162,128640,2.5,-0.4279932379722595,-0.3638470768928528,0.08130641281604767,-0.1454525589942932
68,1602483835.179316,130560,2.0,-0.6397518515586853,-0.5205333828926086,0.026625575497746468,-0.14584405720233917
69,1602483836.4077706,132480,0.0,0.9717720746994019,1.0073119401931763,0.1127152070403099,-0.14825507998466492
70,1602483837.7310739,134400,10.0,-1.8380982875823975,-1.703781008720398,0.011845236644148827,-0.1461624950170517
71,1602483839.193783,136320,7.5,2.3159239292144775,2.3326356410980225,0.13068947196006775,-0.14740107953548431
72,1602483840.2914636,138240,0.0,-2.0625057220458984,-1.9497158527374268,0.03558746352791786,-0.14837738871574402
73,1602483841.7469573,140160,1.4285714626312256,-0.555825412273407,-0.4204197824001312,0.009890243411064148,-0.14529584348201752
74,1602483842.5730202,142080,6.0,-0.2336011379957199,-0.12582509219646454,0.04178426042199135,-0.14956030249595642
75,1602483843.68927,144000,7.142857074737549,0.003651067614555359,0.12275964766740799,0.03132679685950279,-0.15043537318706512
76,1602483844.8453722,145920,0.0,-0.6598781943321228,-0.5087956190109253,0.0031547946855425835,-0.15423737466335297
77,1602483846.2635255,147840,0.0,1.3485959768295288,1.407485842704773,0.09311041235923767,-0.15200035274028778
78,1602483847.5155435,149760,0.0,-1.547987937927246,-1.3992362022399902,0.0052670626901090145,-0.15401871502399445
79,1602483848.947125,151680,12.0,2.961613655090332,2.878384590148926,0.23124440014362335,-0.14801521599292755
80,1602483850.375715,153600,4.0,-2.2528574466705322,-2.118350028991699,0.017344769090414047,-0.15185219049453735
81,1602483851.8244,155520,2.5,1.291670322418213,1.3440577983856201,0.10068294405937195,-0.15307042002677917
82,1602483853.3467836,157440,5.0,1.6253087520599365,1.6352143287658691,0.14123420417308807,-0.15113979578018188
83,1602483854.7014976,159360,nan,0.64336097240448,0.6470869779586792,0.13585859537124634,-0.13958461582660675
84,1602483856.0980957,161280,0.0,-1.3750951290130615,-1.2617998123168945,0.022210484370589256,-0.13550575077533722
85,1602483856.9529474,163200,6.666666507720947,-1.1935935020446777,-1.0787118673324585,0.007764806039631367,-0.12264648079872131
86,1602483858.3853061,165120,4.0,-0.8665257096290588,-0.7499371767044067,0.009361081756651402,-0.12594960629940033
87,1602483859.8071148,167040,4.0,-0.0012722015380859375,0.08361323177814484,0.05301259830594063,-0.1378980278968811
88,1602483861.128569,168960,8.333333015441895,-0.04023003578186035,0.03287898376584053,0.07021636515855789,-0.14332538843154907
89,1602483862.5784357,170880,0.0,0.4293730556964874,0.5075419545173645,0.06672915071249008,-0.14489802718162537
90,1602483864.0100055,172800,0.0,0.2999768853187561,0.370484858751297,0.07189973443746567,-0.14240771532058716
91,1602483865.10683,174720,8.0,0.8034843802452087,0.8664615750312805,0.0755261778831482,-0.13850335776805878
92,1602483866.1026263,176640,nan,-0.0211491659283638,0.036632440984249115,0.08382642269134521,-0.14160802960395813
93,1602483867.5205412,178560,7.5,-1.3710594177246094,-1.2566252946853638,0.028982562944293022,-0.1434165984392166
94,1602483868.87119,180480,1.1111111640930176,1.2010023593902588,1.189658284187317,0.15438702702522278,-0.14304295182228088
95,1602483870.2124207,182400,10.0,-0.0819670557975769,0.010554871521890163,0.05301878601312637,-0.14554071426391602
96,1602483871.3125427,184320,20.0,1.6854616403579712,1.6789352893829346,0.15056726336479187,-0.14404098689556122
97,1602483872.772102,186240,0.0,-1.4914193153381348,-1.4418916702270508,0.0932735949754715,-0.14280126988887787
98,1602483874.0774393,188160,20.0,0.00038376450538635254,0.07436691969633102,0.06841837614774704,-0.1424015313386917
99,1602483874.8938122,190080,2.5,-1.1447994709014893,-1.0057613849639893,0.006967394612729549,-0.14600548148155212
100,1602483876.4156632,192000,15.0,-0.24620039761066437,-0.10301612317562103,0.004842905327677727,-0.1480271816253662
101,1602483877.4204326,193920,nan,0.7793270945549011,0.8504462242126465,0.07924544811248779,-0.15036459267139435
102,1602483878.5418386,195840,0.0,-0.4502299427986145,-0.31873947381973267,0.013752005062997341,-0.14524249732494354
103,1602483879.9140682,197760,2.857142925262451,-0.7889697551727295,-0.6486327052116394,0.007569529581815004,-0.1479065716266632
104,1602483881.151956,199680,0.0,0.4972471296787262,0.586166501045227,0.05872219800949097,-0.14764156937599182
105,1602483882.5877821,201600,0.0,-0.4474101662635803,-0.3384482264518738,0.03822305426001549,-0.14718499779701233
106,1602483884.0584817,203520,10.0,-0.5411702394485474,-0.4197436571121216,0.024273309856653214,-0.14569991827011108
107,1602483885.29212,205440,0.0,-0.7528617978096008,-0.6101967692375183,0.004490203689783812,-0.14715524017810822
108,1602483886.5180638,207360,13.333333015441895,2.536783456802368,2.532958507537842,0.14947767555713654,-0.14565278589725494
109,1602483887.9553704,209280,10.0,-1.9206514358520508,-1.8042877912521362,0.030416062101721764,-0.14677971601486206
110,1602483888.900016,211200,2.0,-0.5559663772583008,-0.4190733730792999,0.008559031412005424,-0.14545202255249023
111,1602483890.2964938,213120,1.6666666269302368,0.3466307520866394,0.4426841735839844,0.053308866918087006,-0.14936231076717377
112,1602483891.6495159,215040,10.0,0.0374467670917511,0.12055223435163498,0.06927752494812012,-0.1523829996585846
113,1602483893.0426633,216960,0.0,-0.8918536305427551,-0.7463365793228149,0.005597035400569439,-0.15111412107944489
114,1602483894.3881202,218880,2.5,-0.009344592690467834,0.13651031255722046,0.00479374872520566,-0.15064865350723267
