# _tick,_time,frames,total_loss,mean_episode_return,pg_loss,baseline_loss,entropy_loss,mean_rewards,mean_intrinsic_rewards,mean_total_rewards,mean_control_rewards,mean_count_rewards,forward_dynamics_loss,inverse_dynamics_loss,indicator_loss
0,1602190449.6024065,0,7429.798828125,0.0,-16.966310501098633,93.07855987548828,-0.12408062070608139,0.0,0.00037364286254160106,0.00037364286254160106,0.03952905535697937,0.2911258339881897,1927.907958984375,27.70181655883789,5398.20068359375
1,1602190451.5738032,800,4993.0126953125,nan,0.01155906356871128,2.482098340988159,-0.008303048089146614,0.0,0.0017362454673275352,0.0017362454673275352,0.24597255885601044,0.53406822681427,1633.3253173828125,25.9393310546875,3331.2626953125
2,1602190452.4320333,1600,3472.600341796875,nan,0.06380892544984818,4.2667107582092285,-0.08467971533536911,0.0,0.00045386527199298143,0.00045386527199298143,0.0775221586227417,0.35844314098358154,1582.1417236328125,25.616519927978516,1860.59619140625
3,1602190453.3066583,2400,2607.979736328125,nan,1.8980424404144287,4.23222541809082,-0.3106861710548401,0.0,0.000677997712045908,0.000677997712045908,0.1523701548576355,0.5126242637634277,1768.720947265625,24.41792106628418,809.021240234375
4,1602190454.1725187,3200,2139.847412109375,nan,0.02362770587205887,0.5761808753013611,-0.06485380232334137,0.0,0.00029783835634589195,0.00029783835634589195,0.07550005614757538,0.3934057950973511,1547.3870849609375,24.174530029296875,567.7507934570312
5,1602190455.0309043,4000,1924.9525146484375,nan,-1.6690021753311157,0.40436550974845886,-0.11295976489782333,0.0,0.000790257821790874,0.000790257821790874,0.22778266668319702,0.36503708362579346,1356.2933349609375,23.208728790283203,546.8280029296875
6,1602190455.8980193,4800,1715.6190185546875,nan,0.0005855092313140631,0.0012697817292064428,-0.0806785449385643,0.0,0.0005373813328333199,0.0005373813328333199,0.12425943464040756,0.294732928276062,1203.1947021484375,23.31168556213379,489.1915588378906
7,1602190456.7592053,5600,1594.8472900390625,nan,-0.0005387307610362768,4.104094841750339e-09,-0.21858583390712738,0.0,0.00026890638400800526,0.00026890638400800526,0.08530358970165253,0.2555263042449951,1106.208984375,22.284313201904297,466.5731506347656
8,1602190457.5913377,6400,1456.8106689453125,nan,0.14328399300575256,23.018884658813477,-0.03874734416604042,0.0,0.0005763800581917167,0.0005763800581917167,0.25453096628189087,0.26601460576057434,932.5137329101562,23.35633087158203,477.81719970703125
9,1602190458.4194977,7200,1378.75146484375,nan,0.1094764918088913,0.0065121776424348354,-0.07874048501253128,0.0,0.00018249730055686086,0.00018249730055686086,0.05804012343287468,0.3116109371185303,866.118408203125,23.605260848999023,488.9905090332031
10,1602190459.2629874,8000,1420.189697265625,nan,0.6594648957252502,0.076191246509552,-0.018307780846953392,0.0,0.0002824130351655185,0.0002824130351655185,0.11051853001117706,0.27253618836402893,922.6489868164062,23.472373962402344,473.3509521484375
11,1602190460.0932758,8800,1307.5673828125,nan,0.00021691399160772562,1.0477378964424133e-09,-0.056787390261888504,0.0,0.00015343363338615745,0.00015343363338615745,0.04393331706523895,0.2473340630531311,786.55419921875,23.458370208740234,497.61138916015625
12,1602190460.9296536,9600,1331.1669921875,nan,0.005387439392507076,0.5356590151786804,-0.08626098185777664,0.0,0.0002750401326920837,0.0002750401326920837,0.10182803869247437,0.3759945034980774,838.7179565429688,24.166044235229492,467.8282165527344
13,1602190461.7629163,10400,1285.177734375,nan,0.007877460680902004,0.2640267312526703,-0.1266024261713028,0.0,0.0002281203487655148,0.0002281203487655148,0.08065615594387054,0.29101163148880005,734.882080078125,25.962387084960938,524.1878662109375
14,1602190462.5822768,11200,1130.67041015625,nan,0.0003359638212714344,0.00600371602922678,-0.06678446382284164,0.0,0.0001411637058481574,0.0001411637058481574,0.03501646965742111,0.3686332404613495,645.6655883789062,26.281850814819336,458.7834167480469
15,1602190463.4103491,12000,1232.0316162109375,nan,0.004337959457188845,0.007970725186169147,-0.037343040108680725,0.0,0.00012444876483641565,0.00012444876483641565,0.034854572266340256,0.27027428150177,735.1911010742188,25.360200881958008,471.50531005859375
16,1602190464.230455,12800,1199.1739501953125,nan,-0.12618142366409302,0.003713220590725541,-0.05238009989261627,0.0,0.00020309888350311667,0.00020309888350311667,0.056053005158901215,0.38380569219589233,706.2628784179688,25.427759170532227,467.6582336425781
17,1602190465.0522172,13600,1216.148681640625,nan,-0.0004176909860689193,2.530413212298299e-09,-0.1399613618850708,0.0,0.00017687943181954324,0.00017687943181954324,0.04008091613650322,0.309744656085968,723.2028198242188,25.6824893951416,467.4037170410156
18,1602190465.8903022,14400,1062.120849609375,nan,0.0030664480291306973,0.0007457913015969098,-0.12666498124599457,0.0,7.217624079203233e-05,7.217624079203233e-05,0.018290331587195396,0.2210887372493744,544.04345703125,25.583248138427734,492.6170654296875
