# _tick,_time,frames,mean_episode_return,total_loss,pg_loss,baseline_loss,entropy_loss
31,1602664488.6463635,39680,0.0,0.43279320001602173,0.20084042847156525,0.7858115434646606,-0.553858757019043
32,1602664489.7354312,40960,5.0,0.5606318116188049,0.6120398640632629,0.573756992816925,-0.6251650452613831
33,1602664490.8354871,42240,4.0,0.557845413684845,-0.0008576810359954834,1.0623070001602173,-0.5036038756370544
34,1602664491.9345214,43520,0.0,1.319364309310913,0.7069460153579712,1.2156766653060913,-0.6032583713531494
35,1602664492.943263,44800,3.3333332538604736,0.3912314772605896,0.4044230878353119,0.5772298574447632,-0.5904214978218079
36,1602664493.9744837,46080,3.3333332538604736,-0.7124219536781311,-0.26265984773635864,0.21002411842346191,-0.6597862243652344
37,1602664494.7310202,47360,3.3333332538604736,0.6446288824081421,0.9620383977890015,0.3096144199371338,-0.6270239353179932
38,1602664495.4955876,48640,0.0,0.49997425079345703,0.4779369533061981,0.740024745464325,-0.7179874181747437
39,1602664496.40346,49920,5.0,-0.581419825553894,0.03163328021764755,0.10285200923681259,-0.7159051299095154
40,1602664497.4808936,51200,nan,-0.8656013011932373,-0.14355643093585968,0.05973951518535614,-0.7817843556404114
41,1602664498.5164068,52480,0.0,-0.5279780626296997,0.2598392367362976,0.06189323216676712,-0.8497105240821838
42,1602664499.328962,53760,nan,-1.2503567934036255,-0.5573041439056396,0.13855382800102234,-0.8316064476966858
43,1602664500.3314,55040,nan,0.13136839866638184,0.8301993608474731,0.09082022309303284,-0.7896511554718018
44,1602664501.1466231,56320,0.0,-0.8100661635398865,-0.12993276119232178,0.15867561101913452,-0.8388090133666992
45,1602664501.8616729,57600,0.0,-0.925005316734314,-0.181658074259758,0.05294942110776901,-0.7962966561317444
46,1602664502.984246,58880,nan,-0.7722305059432983,-0.08215896785259247,0.18362700939178467,-0.8736985325813293
47,1602664503.7543976,60160,nan,-0.613724946975708,-0.03950086236000061,0.2699260413646698,-0.8441501259803772
48,1602664504.699061,61440,nan,-0.15418648719787598,0.499220609664917,0.2061621993780136,-0.8595693111419678
49,1602664505.6821501,62720,0.0,-0.6249250173568726,-0.008524499833583832,0.27474087476730347,-0.8911413550376892
50,1602664506.7100394,64000,0.0,-0.46699145436286926,0.23197075724601746,0.1917276382446289,-0.8906898498535156
51,1602664507.7339253,65280,0.0,-0.9578683972358704,-0.2805197238922119,0.20746852457523346,-0.8848171830177307
52,1602664508.804529,66560,10.0,-0.07043969631195068,0.7064958214759827,0.15195462107658386,-0.9288901090621948
53,1602664509.805781,67840,nan,-0.3609350323677063,0.3323313593864441,0.20374703407287598,-0.8970134258270264
54,1602664510.6669202,69120,0.0,-1.0287654399871826,-0.3146780729293823,0.1695607304573059,-0.8836480379104614
55,1602664511.6550848,70400,0.0,-0.6030685901641846,0.09164103120565414,0.22158145904541016,-0.9162911176681519
56,1602664512.7261267,71680,0.0,-1.1159039735794067,-0.4301989674568176,0.2161272019147873,-0.9018321633338928
57,1602664513.7557251,72960,nan,-0.3665355443954468,0.3192082643508911,0.2240312546491623,-0.9097750782966614
58,1602664514.8143792,74240,6.666666507720947,0.2760462164878845,0.9327049851417542,0.25199154019355774,-0.9086503386497498
59,1602664515.416236,75520,0.0,-0.2237004041671753,0.41392165422439575,0.28997454047203064,-0.9275965690612793
60,1602664516.5862226,76800,0.0,-1.314034342765808,-0.9322158098220825,0.5303105115890503,-0.9121290445327759
61,1602664517.504715,78080,0.0,1.9597816467285156,2.0766260623931885,0.8005238771438599,-0.9173683524131775
62,1602664518.6762586,79360,6.666666507720947,3.8585360050201416,3.342486619949341,1.3611259460449219,-0.8450762629508972
63,1602664519.4196985,80640,0.0,-2.8176090717315674,-3.276747226715088,1.1780272722244263,-0.718889057636261
64,1602664520.4113975,81920,0.0,-0.3135181963443756,-0.4871775209903717,0.974327027797699,-0.8006677031517029
65,1602664521.4999518,83200,2.0,2.2820677757263184,2.0421485900878906,1.1046574115753174,-0.8647382855415344
66,1602664522.4191232,84480,3.3333332538604736,-1.7546942234039307,-1.5493296384811401,0.7049238681793213,-0.9102884531021118
67,1602664523.525547,85760,6.666666507720947,0.1844273805618286,0.5884471535682678,0.4619639813899994,-0.8659837245941162
68,1602664524.467465,87040,0.0,0.4905085563659668,0.891994059085846,0.47485917806625366,-0.8763446807861328
69,1602664525.2273772,88320,0.0,-1.2416176795959473,-0.6843998432159424,0.21884599328041077,-0.7760637998580933
70,1602664526.408904,89600,10.0,-0.8899056911468506,-0.2043587565422058,0.21968895196914673,-0.9052358865737915
71,1602664527.0382864,90880,0.0,-1.4442466497421265,-0.7333848476409912,0.20267024636268616,-0.913532018661499
72,1602664527.9619372,92160,6.666666507720947,-1.4944243431091309,-0.7558758854866028,0.1904488056898117,-0.9289973378181458
73,1602664528.96643,93440,0.0,-1.161705493927002,-0.416254460811615,0.20174908638000488,-0.9472001194953918
74,1602664529.7998695,94720,0.0,-0.6705983877182007,0.08336730301380157,0.18885622918605804,-0.9428219199180603
75,1602664530.4332404,96000,0.0,-0.52850341796875,0.16005928814411163,0.24762095510959625,-0.9361836314201355
76,1602664531.5271964,97280,0.0,-0.4182712435722351,0.2726241946220398,0.23243635892868042,-0.9233317971229553
77,1602664532.6371872,98560,5.0,-0.03309506177902222,0.7637441754341125,0.17248043417930603,-0.9693196415901184
78,1602664533.7076564,99840,0.0,-1.6016919612884521,-0.7435922026634216,0.12444396317005157,-0.9825437664985657
79,1602664534.4343414,101120,nan,-1.6835858821868896,-0.8351659774780273,0.12686775624752045,-0.9752876162528992
80,1602664535.239724,102400,10.0,-0.7795705795288086,0.062163859605789185,0.13621467351913452,-0.9779491424560547
81,1602664536.02606,103680,nan,-0.1370323896408081,0.6450059413909912,0.17972955107688904,-0.9617679119110107
82,1602664536.988956,104960,0.0,-0.3745693564414978,0.3086041212081909,0.2884502708911896,-0.9716237187385559
83,1602664538.3230023,106240,nan,-0.6094422340393066,0.10802262276411057,0.24039100110530853,-0.9578558206558228
84,1602664539.3139396,107520,2.5,-1.2738118171691895,-0.683987021446228,0.35542869567871094,-0.9452534317970276
85,1602664540.2693467,108800,10.0,-0.07289755344390869,0.4667045474052429,0.36677688360214233,-0.906378984451294
86,1602664540.961849,110080,nan,-0.23338180780410767,0.1755882352590561,0.5064695477485657,-0.9154396057128906
87,1602664541.9313033,111360,6.0,-0.2906966209411621,0.1721009612083435,0.45400938391685486,-0.9168069362640381
88,1602664542.9112332,112640,3.3333332538604736,-0.6203356981277466,-0.0688907727599144,0.3448469042778015,-0.8962917923927307
89,1602664544.0093293,113920,3.3333332538604736,0.19927489757537842,0.5509116053581238,0.5678011178970337,-0.9194377660751343
90,1602664545.0116005,115200,10.0,-3.013676166534424,-2.6688661575317383,0.6033951044082642,-0.9482049942016602
91,1602664545.9980752,116480,30.0,-2.556239604949951,-2.1985044479370117,0.5686976909637451,-0.9264328479766846
92,1602664546.7862914,117760,13.333333015441895,-0.8198261260986328,-0.3977404832839966,0.5227051973342896,-0.9447908401489258
93,1602664547.489659,119040,nan,-2.650662422180176,-2.0136873722076416,0.2995278239250183,-0.9365028142929077
94,1602664548.581659,120320,5.0,-1.1471614837646484,-0.5862325429916382,0.3752216696739197,-0.9361506700515747
95,1602664549.6232245,121600,30.0,-0.5852782130241394,0.14313703775405884,0.22414547204971313,-0.9525607228279114
96,1602664550.3808508,122880,6.666666507720947,-0.08090269565582275,0.7009758949279785,0.1719077229499817,-0.953786313533783
97,1602664551.3225718,124160,0.0,0.7021190524101257,1.4531916379928589,0.20830318331718445,-0.95937579870224
98,1602664552.372438,125440,2.222222328186035,-0.1735479235649109,0.6153777837753296,0.18565507233142853,-0.9745807647705078
99,1602664553.444296,126720,nan,-0.08899849653244019,0.6992439031600952,0.18175989389419556,-0.970002293586731
100,1602664554.457019,128000,0.0,0.6639503240585327,1.4174299240112305,0.23461703956127167,-0.9880965948104858
101,1602664555.3433347,129280,0.0,-0.8616510033607483,-0.18699002265930176,0.2982443571090698,-0.9729053378105164
102,1602664556.2916546,130560,10.0,0.4614497423171997,1.128926396369934,0.3226602077484131,-0.9901368618011475
103,1602664557.3580751,131840,5.0,0.66256183385849,1.3856494426727295,0.2631375789642334,-0.9862251877784729
104,1602664558.3658988,133120,20.0,-0.9167108535766602,-0.08164680004119873,0.15150749683380127,-0.9865715503692627
105,1602664559.3608172,134400,nan,-1.1853173971176147,-0.3320905566215515,0.14487893879413605,-0.9981057643890381
106,1602664560.3585122,135680,6.0,-0.18121188879013062,0.6381943821907043,0.17625181376934052,-0.9956580996513367
107,1602664561.4156084,136960,2.857142925262451,-0.5658787488937378,0.1796538531780243,0.24353796243667603,-0.9890705943107605
108,1602664562.3810987,138240,10.0,-2.2144744396209717,-1.3684577941894531,0.15051297843456268,-0.9965295791625977
109,1602664563.3626626,139520,0.0,1.2337157726287842,1.8595530986785889,0.3630325198173523,-0.988869845867157
110,1602664564.3176427,140800,0.0,-0.3317950963973999,0.41999807953834534,0.2522578835487366,-1.0040510892868042
111,1602664565.3796773,142080,5.0,-1.437455415725708,-0.5792319774627686,0.14699296653270721,-1.005216360092163
112,1602664566.1475267,143360,10.0,-0.8301560878753662,0.022131800651550293,0.1580299437046051,-1.0103178024291992
113,1602664567.1062818,144640,nan,-0.17673015594482422,0.6240284442901611,0.20890392363071442,-1.0096625089645386
114,1602664567.656656,145920,0.0,-0.7994422912597656,-0.01591772586107254,0.23178748786449432,-1.0153120756149292
115,1602664568.7435873,147200,3.3333332538604736,-1.3895777463912964,-0.5329925417900085,0.16402927041053772,-1.020614504814148
116,1602664569.8044925,148480,10.0,0.4117804765701294,1.1947591304779053,0.2393554300069809,-1.022334098815918
117,1602664570.4275799,149760,10.0,-1.1597009897232056,-0.2762889266014099,0.14500436186790466,-1.028416395187378
118,1602664571.5831003,151040,6.666666507720947,-0.9303418397903442,-0.03953498974442482,0.13952001929283142,-1.0303268432617188
119,1602664572.2512536,152320,0.0,0.08013176918029785,0.9007791876792908,0.20585547387599945,-1.0265028476715088
120,1602664573.174747,153600,10.0,-2.2352676391601562,-1.3261477947235107,0.12059342861175537,-1.0297133922576904
121,1602664573.8959532,154880,10.0,-0.7299034595489502,0.16034018993377686,0.13510191440582275,-1.0253455638885498
122,1602664574.7953408,156160,0.0,-1.5945258140563965,-0.7071447968482971,0.140463724732399,-1.0278446674346924
